coords_x,coords_y,coords_z,latitude,longitude
0,0,0,0,0
5.6835, 61.0817, 12.1466, -22.4151394, -45.4483685 
18.0781, 95.3326, 20.2917, -22.4150283, -45.4487010
46.5282, 168.6151, 29.5881, -22.4147728, -45.4494145
55.2109, 313.4657, 30.4439, -22.4146941, -45.4508209
107.0856, 373.1559, 26.5456, -22.4142281, -45.4514035
199.7052, 362.7539, 12.2762, -22.4133971, -45.4513056
270.0076, 312.1785, 10.7702, -22.4127631, -45.4508118
315.7479, 175.8674, 29.7466, -22.4123540, -45.4494890
315.2158, 27.0026, 12.1419, -22.4123564, -45.4480409
0,0,0,0,0
